seed;step;episode;run;hypervolume;PFcardinality;plan_lengths;computation_time
1;2500;7;run1;0.0;1;[500];0.3094059159993776
1;5000;12;run1;0.0;2;[500, 500];0.6692280810020748
1;7500;17;run1;0.0;2;[500, 500];1.0309819140020409
1;10000;23;run1;0.0;1;[500];1.3728106769995065
1;12500;28;run1;0.0;2;[500, 500];1.750494041996717
1;15000;34;run1;0.0;3;[500, 19, 500];2.161061343002075
1;17500;39;run1;0.0;4;[500, 19, 500, 500];2.618252077998477
1;20000;44;run1;0.0;4;[500, 19, 500, 500];3.0832568039986654
1;22500;49;run1;0.0;4;[19, 500, 500, 500];3.6150979040030506
1;25000;56;run1;0.0;3;[19, 500, 500];4.065423681000539
1;27500;61;run1;0.0;3;[19, 500, 500];4.513652845998877
1;30000;67;run1;0.0;3;[19, 500, 500];4.990520409002784
1;32500;73;run1;1.948793993273792;4;[19, 500, 500, 500];5.597980553000525
1;35000;78;run1;1.948793993273792;4;[19, 500, 500, 500];6.14343829399877
1;37500;83;run1;2.227378657047458;5;[500, 19, 500, 500, 500];6.802912792998541
1;40000;88;run1;2.227378657047458;5;[500, 19, 500, 500, 500];7.46030327599874
1;42500;93;run1;2.227378657047458;5;[500, 19, 500, 500, 500];8.115191892000439
1;45000;99;run1;2.227378657047458;5;[500, 19, 500, 500, 500];8.774953341999208
1;47500;106;run1;2.227378657047458;5;[500, 500, 19, 500, 500];9.462261285996647
1;50000;113;run1;2.1225982423811147;5;[500, 500, 500, 19, 500];10.151537177996943
1;52500;118;run1;2.1048437905057353;7;[500, 500, 19, 500, 500, 500, 500];11.004160374002822
1;55000;125;run1;2.0900122135822845;7;[500, 500, 500, 19, 500, 500, 500];11.821277337003266
1;57500;130;run1;2.0900122135822845;7;[500, 500, 500, 19, 500, 500, 500];12.622052108999924
1;60000;137;run1;2.0243279770513887;7;[500, 19, 500, 500, 500, 17, 500];13.507209989002149
1;62500;143;run1;3.2329597363886853;9;[500, 500, 19, 500, 500, 500, 17, 500, 35];14.452207545997226
1;65000;149;run1;3.194983641747541;10;[500, 500, 19, 500, 500, 500, 17, 500, 500, 35];15.532638787997712
1;67500;158;run1;3.180202650879482;11;[500, 500, 19, 500, 500, 500, 500, 17, 500, 500, 35];16.63730023700191
1;70000;165;run1;3.1456953942347488;10;[500, 500, 500, 19, 500, 500, 17, 500, 500, 35];17.587387895000575
1;72500;170;run1;3.1430059844171634;9;[500, 500, 500, 19, 500, 17, 500, 500, 35];18.56776311500289
1;75000;177;run1;3.1376200873877353;8;[500, 500, 19, 500, 17, 500, 500, 35];19.443798214997514
1;77500;182;run1;3.1008145113611123;7;[500, 500, 19, 500, 17, 500, 35];20.19946342500043
1;80000;189;run1;3.0696231183962635;8;[500, 500, 19, 500, 500, 17, 500, 35];21.121676182003284
1;82500;197;run1;3.0383701130376437;7;[500, 500, 19, 17, 500, 500, 35];21.84353564200137
1;85000;206;run1;3.245294104313266;7;[500, 19, 41, 17, 500, 500, 35];22.537066318000143
1;87500;214;run1;3.245294104313266;7;[500, 19, 41, 17, 500, 500, 35];23.226093104996835
1;90000;221;run1;3.225077147104316;7;[19, 500, 41, 17, 500, 500, 35];23.9424090600005
1;92500;229;run1;3.212960882408092;7;[19, 500, 41, 500, 17, 500, 35];24.62782405300095
1;95000;238;run1;3.19887264118938;6;[500, 19, 41, 17, 500, 35];25.261426072000177
1;97500;247;run1;3.185111439310809;6;[500, 19, 41, 17, 500, 35];25.815362822999305
1;100000;256;run1;3.185111439310809;6;[500, 19, 41, 17, 500, 35];26.352622469996277
1;102500;264;run1;3.185111439310809;6;[500, 19, 41, 17, 500, 35];26.881955753997318
1;105000;274;run1;3.185111439310809;6;[500, 19, 41, 17, 500, 35];27.463969591000932
1;107500;285;run1;3.17522307460115;5;[19, 500, 41, 17, 35];27.95179411499703
1;110000;292;run1;3.17522307460115;5;[19, 500, 41, 17, 35];28.428727555001387
1;112500;300;run1;3.17522307460115;5;[19, 500, 41, 17, 35];28.88761240200256
1;115000;309;run1;3.17522307460115;5;[19, 500, 41, 17, 35];29.39208517299994
1;117500;321;run1;3.17522307460115;6;[500, 500, 19, 41, 17, 35];29.986359798000194
1;120000;332;run1;3.17522307460115;6;[500, 500, 19, 41, 17, 35];30.602020589998574
1;122500;342;run1;3.17522307460115;6;[500, 500, 19, 41, 17, 35];31.132887467996625
1;125000;351;run1;3.17522307460115;6;[500, 500, 19, 41, 17, 35];31.752240474001155
1;127500;360;run1;3.17522307460115;6;[500, 500, 19, 41, 17, 35];32.353991078001854
1;130000;374;run1;3.17522307460115;7;[500, 500, 19, 500, 41, 17, 35];33.04981903299631
1;132500;385;run1;3.17522307460115;7;[500, 500, 19, 41, 17, 35, 500];33.73389743200096
1;135000;395;run1;3.256171224643483;9;[500, 37, 19, 500, 500, 41, 17, 35, 500];34.557874555001035
1;137500;406;run1;3.2285594798724486;8;[500, 37, 19, 41, 500, 17, 35, 500];35.28796956699807
1;140000;421;run1;3.2285594798724486;8;[500, 37, 19, 500, 41, 17, 35, 500];36.06011190400022
1;142500;432;run1;3.2285594798724486;8;[500, 500, 37, 19, 500, 41, 17, 35];36.81214486400131
1;145000;445;run1;3.2285594798724486;8;[500, 37, 19, 500, 500, 41, 17, 35];37.69910806300322
1;147500;456;run1;3.2285594798724486;10;[500, 37, 19, 500, 500, 41, 500, 17, 500, 35];38.775747642997885
1;150000;468;run1;3.2285594798724486;9;[37, 19, 500, 500, 500, 41, 500, 17, 35];39.76597276800021
1;152500;482;run1;3.2285594798724486;8;[500, 33, 37, 19, 500, 41, 17, 35];40.52091291599936
1;155000;496;run1;3.2285594798724486;8;[500, 33, 37, 19, 500, 41, 17, 35];41.23607030400308
1;157500;510;run1;3.2285594798724486;8;[500, 33, 37, 19, 500, 41, 17, 35];41.961399004998384
1;160000;523;run1;3.2285594798724486;7;[35, 500, 37, 19, 41, 17, 33];42.543939322997176
1;162500;534;run1;3.2285594798724486;7;[35, 500, 37, 19, 41, 17, 33];43.14105336999637
1;165000;544;run1;3.2285594798724486;8;[35, 500, 37, 19, 41, 500, 17, 33];43.859073293999245
1;167500;557;run1;3.2285594798724486;7;[35, 500, 37, 19, 41, 17, 33];44.469406800002616
1;170000;574;run1;3.2285594798724486;7;[35, 500, 37, 19, 41, 17, 33];45.0821214940006
1;172500;588;run1;3.2285594798724486;7;[35, 500, 37, 19, 41, 17, 33];45.70652864500153
1;175000;604;run1;3.2285594798724486;7;[35, 500, 37, 19, 41, 17, 33];46.32539764299872
1;177500;617;run1;3.2285594798724486;7;[500, 35, 37, 19, 41, 17, 33];46.91675845900318
1;180000;632;run1;3.2285594798724486;7;[500, 35, 37, 19, 41, 17, 33];47.52069150200259
1;182500;649;run1;3.2285594798724486;7;[500, 35, 37, 19, 41, 17, 33];48.154926745999546
1;185000;662;run1;3.2285594798724486;7;[500, 35, 37, 19, 41, 17, 33];48.76072476099944
1;187500;676;run1;3.2285594798724486;7;[500, 35, 37, 19, 41, 17, 33];49.38905919699755
1;190000;689;run1;3.2285594798724486;7;[500, 35, 37, 19, 41, 17, 33];50.00539881399891
1;192500;701;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];50.6043870939975
1;195000;716;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];51.222754531001556
1;197500;735;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];51.87668624600337
1;200000;757;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];52.54623683400132
1;202500;774;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];53.1753515599994
1;205000;790;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];53.785915182998
1;207500;809;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];54.41085751599894
1;210000;824;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];55.0237831609993
1;212500;845;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];55.68262575800327
1;215000;861;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];56.29541648599843
1;217500;874;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];56.905534404999344
1;220000;889;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];57.52550494400202
1;222500;905;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];58.161438274997636
1;225000;926;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];58.81537809000292
1;227500;939;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];59.4222854710024
1;230000;956;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];60.06198935300199
1;232500;973;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];60.68998961699981
1;235000;989;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];61.30705798100098
1;237500;1007;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];61.93177145499794
1;240000;1025;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];62.58156032500119
1;242500;1041;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];63.21701961600047
1;245000;1061;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];63.858215613996435
1;247500;1083;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];64.52313193499867
1;250000;1103;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];65.18347705299675
1;252500;1121;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];65.83178510300058
1;255000;1136;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];66.46377167099854
1;257500;1156;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];67.14541290399939
1;260000;1175;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];67.81842438499734
1;262500;1192;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];68.47389839799871
1;265000;1208;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];69.12151108100079
1;267500;1222;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];69.774139758003
1;270000;1242;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];70.4437646899969
1;272500;1264;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];71.14434726699983
1;275000;1285;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];71.84108704399841
1;277500;1305;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];72.54035171100259
1;280000;1322;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];73.2234692159982
1;282500;1341;run1;3.2285594798724486;7;[35, 37, 19, 41, 17, 500, 33];73.91155908400106
1;285000;1360;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];74.47373247300129
1;287500;1377;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];74.99813291300234
1;290000;1397;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];75.55346349700267
1;292500;1411;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];76.08975753199775
1;295000;1427;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];76.62201387999812
1;297500;1442;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];77.14527216099668
1;300000;1463;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];77.70407994100242
1;302500;1481;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];78.2382284819978
1;305000;1497;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];78.80071313700319
1;307500;1515;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];79.35425665199728
1;310000;1535;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];79.91518438600178
1;312500;1555;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];80.47997827100335
1;315000;1575;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];81.0538148869964
1;317500;1591;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];81.60442924800009
1;320000;1612;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];82.16715518599813
1;322500;1631;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];82.73009997700137
1;325000;1649;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];83.30013719399722
1;327500;1671;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];83.88542475800205
1;330000;1692;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];84.46809606900206
1;332500;1713;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];85.02832679200219
1;335000;1734;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];85.58992125000077
1;337500;1760;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];86.18614745399827
1;340000;1778;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];86.7646598279971
1;342500;1794;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];87.32096633600304
1;345000;1812;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];87.90361717600172
1;347500;1828;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];88.45975380299933
1;350000;1848;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];89.0378933000029
1;352500;1868;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];89.6230130719996
1;355000;1891;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];90.21310218099825
1;357500;1911;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];90.8047711629988
1;360000;1934;run1;3.2285594798724486;6;[35, 19, 17, 41, 37, 33];91.40527022299648
