seed;step;episode;run;hypervolume;PFcardinality;plan_lengths;computation_time
1;1000;2;run1;0.0;0;[];0.6713978440020583
1;2000;4;run1;0.0;0;[];1.4132444229981047
1;3000;7;run1;0.0;0;[];2.105769745998259
1;4000;9;run1;0.0;0;[];2.7687571909991675
1;5000;11;run1;0.0;0;[];3.4772036349968403
1;6000;15;run1;0.0;0;[];4.3113328909967095
1;7000;17;run1;0.0;0;[];5.11947185399913
1;8000;19;run1;0.0;0;[];6.010642943998391
1;9000;21;run1;0.0;1;[19];6.866366520996962
1;10000;23;run1;0.0;1;[19];7.702589321997948
1;11000;25;run1;0.0;1;[19];8.525044575995707
1;12000;27;run1;0.0;1;[19];9.51164923900069
1;13000;30;run1;0.0;3;[17, 19, 19];10.423798324998643
1;14000;32;run1;0.0;2;[19, 17];11.369133774998772
1;15000;34;run1;0.0;3;[19, 19, 17];12.306433789999573
1;16000;38;run1;0.0;3;[19, 19, 17];13.179787160996057
1;17000;40;run1;0.0;2;[17, 19];14.039342080999631
1;18000;43;run1;0.0;2;[17, 19];14.907696659996873
1;19000;45;run1;0.0;2;[19, 17];15.839848534000339
1;20000;47;run1;0.0;2;[19, 17];16.86174238899548
1;21000;49;run1;3.0193296558544738;5;[33, 37, 19, 17, 35];17.88892979299999
1;22000;52;run1;3.032781531512157;6;[33, 37, 19, 34, 17, 35];18.824053949996596
1;23000;54;run1;3.0193296558544738;5;[33, 37, 19, 17, 35];19.917509106999205
1;24000;57;run1;3.0193296558544738;5;[33, 37, 19, 17, 35];21.043247264002275
1;25000;59;run1;3.0193296558544738;5;[33, 37, 19, 17, 35];22.221164199996565
1;26000;62;run1;3.0193296558544738;5;[35, 33, 37, 19, 17];23.41568464499869
1;27000;65;run1;3.0193296558544738;5;[33, 37, 19, 17, 35];24.469318935996853
1;28000;67;run1;3.0193296558544738;5;[33, 37, 19, 17, 35];25.563169317996653
1;29000;72;run1;3.0193296558544738;5;[35, 33, 37, 19, 17];26.744666163998772
1;30000;75;run1;3.0193296558544738;5;[33, 37, 19, 17, 35];27.89641937200213
1;31000;78;run1;3.0193296558544738;5;[33, 37, 19, 17, 35];28.84750260099827
1;32000;81;run1;3.0193296558544738;5;[33, 37, 19, 17, 35];29.87074515900167
1;33000;84;run1;3.0193296558544738;5;[35, 37, 19, 17, 33];30.719993040998816
1;34000;87;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];31.506828846002463
1;35000;90;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];32.33903772699705
1;36000;95;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];33.1168713770021
1;37000;99;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];33.82789936399786
1;38000;104;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];34.58951679599704
1;39000;108;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];35.32100838099723
1;40000;111;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];36.06765374600218
1;41000;113;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];36.793161713998416
1;42000;116;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];37.5239447549975
1;43000;120;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];38.260989358997904
1;44000;123;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];39.08565747099783
1;45000;127;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];39.80731830599689
1;46000;130;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];40.578785799996695
1;47000;135;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];41.3467263029961
1;48000;140;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];42.16630714699568
1;49000;146;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];42.96875564099901
1;50000;151;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];43.79472027200245
1;51000;153;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];44.61633945799986
1;52000;157;run1;3.0193296558544738;5;[35, 19, 17, 37, 33];45.46222123700136
1;53000;161;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];46.246242945999256
1;54000;167;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];47.05400938099774
1;55000;171;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];47.80650507899554
1;56000;174;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];48.60715751600219
1;57000;177;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];49.43920408299891
1;58000;180;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];50.25534598699596
1;59000;184;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];51.080991684000765
1;60000;188;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];51.901553739997325
1;61000;191;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];52.68501382999966
1;62000;199;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];53.51876043599623
1;63000;205;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];54.293290016001265
1;64000;209;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];55.10363340799813
1;65000;213;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];55.92298112699791
1;66000;216;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];56.743291475999285
1;67000;224;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];57.550182207000034
1;68000;227;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];58.29276700999617
1;69000;232;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];59.11347385300178
1;70000;236;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];59.915824037001585
1;71000;241;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];60.680929053996806
1;72000;248;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];61.46735223099677
1;73000;253;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];62.26009774600243
1;74000;259;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];63.04224967499613
1;75000;266;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];63.83037112999591
1;76000;271;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];64.70365726100135
1;77000;279;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];65.62574711500201
1;78000;285;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];66.45359998600179
1;79000;290;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];67.27570396300143
1;80000;295;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];68.07377744399855
1;81000;300;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];68.84732816700125
1;82000;306;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];69.65334105199872
1;83000;311;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];70.49578584000119
1;84000;317;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];71.34224678199826
1;85000;325;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];72.18709174200194
1;86000;331;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];72.98358645499684
1;87000;339;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];73.84613376099878
1;88000;347;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];74.72165449299791
1;89000;356;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];75.54878034700232
1;90000;362;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];76.37861150199751
1;91000;370;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];77.18348734599567
1;92000;375;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];78.0031618130015
1;93000;380;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];78.77678545100207
1;94000;386;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];79.57143771900155
1;95000;392;run1;3.055020023926017;6;[35, 19, 17, 51, 37, 33];80.37853147600254
