seed;step;episode;run;q_sum;per_task_q;computation_time
1;2500;5;run1;-0.2805;[-0.2805, 0.0, 0.0];0.12933818899909966
1;5000;10;run1;-1.1556939207029882;[-1.1556940945645917, 0.0, 1.7386160350250117e-07];0.25241129899950465
1;7500;15;run1;-1.6478663796184374;[-1.6478717491847494, 0.0, 5.369566312020524e-06];0.3792611050012056
1;10000;20;run1;-1.9785793344734404;[-1.9786231591430177, 0.0, 4.382466957727316e-05];0.5009161490015686
1;12500;26;run1;-2.5270548721054564;[-2.5315562017031907, 0.0, 0.004501329597734241];0.6459960590000264
1;15000;31;run1;-2.922376082641212;[-2.9419763972301127, 0.0, 0.019600314588900547];0.7565622590045677
1;17500;36;run1;-3.201785358245883;[-3.2362225006816487, 0.0, 0.03443714243576589];0.8787508899986278
1;20000;42;run1;-3.7875557145043084;[-3.860676153514735, 0.0, 0.07312043901042663];1.0089505470023141
1;22500;47;run1;-3.8399132589732687;[-3.9387598012683176, 0.0, 0.09884654229504904];1.1255757309991168
1;25000;54;run1;-4.132645515873791;[-4.325399002160509, 0.0, 0.19275348628671832];1.2644211750011891
1;27500;63;run1;-4.738825719508581;[-4.998789826292231, 1.4681281762647898e-16, 0.2599641067836491];1.3883664130044053
1;30000;71;run1;-4.9392115419062685;[-5.259874492479026, 7.535139832084366e-15, 0.32066295057275074];1.4956988640042255
1;32500;82;run1;-5.287054222161629;[-5.7239575313238, 6.110723304510911e-13, 0.4369033091615597];1.6295249379982124
1;35000;96;run1;-5.621072891244432;[-6.137174215049858, 7.649044628355404e-10, 0.5161013230405219];1.7500531309997314
1;37500;110;run1;-6.0217542989050346;[-6.608160512419943, 1.375947735585929e-07, 0.5864060759201344];1.8845249910009443
1;40000;124;run1;-6.455657934265621;[-7.073609741832858, 4.147569457118818e-06, 0.6179476599977793];2.0255910589985433
1;42500;140;run1;-6.786688049474875;[-7.425683766199154, 3.488735550242034e-05, 0.6389608293687774];2.1461783230042784
1;45000;158;run1;-7.213952180891616;[-7.864737072877532, 0.00017300570745137046, 0.6506118862784649];2.312712887003727
1;47500;172;run1;-7.581696255461557;[-8.239780624412289, 0.0004943823107849917, 0.6575899866399469];2.426950663997559
1;50000;190;run1;-8.000798123478448;[-8.663517069657058, 0.0021287320615061838, 0.6605902141171036];2.54248093500064
1;52500;215;run1;-8.540014024171649;[-9.215126961653796, 0.01240026140648325, 0.6627126760756641];2.6829696479981067
1;55000;232;run1;-8.769592484456657;[-9.467282227043409, 0.03464130014747504, 0.6630484424392766];2.811063845998433
1;57500;247;run1;-8.972565170601019;[-9.69635663126475, 0.060531182976961924, 0.6632602776867695];2.977610435002134
1;60000;263;run1;-9.182858975175435;[-9.949048450429677, 0.10282369406876854, 0.6633657811854738];3.0816652360008447
1;62500;286;run1;-9.458248759440584;[-10.260081360853288, 0.13843138847608077, 0.6634012129366235];3.2150208829989424
1;65000;310;run1;-9.593373092540705;[-10.476388753314515, 0.20110930440019115, 0.6819063563736179];3.3452174690028187
1;67500;323;run1;-9.609611506974614;[-10.545664722876307, 0.23148557607148487, 0.7045676398302081];3.4575424600043334
1;70000;340;run1;-9.696633448418252;[-10.683175242790622, 0.2600905149938243, 0.7264512793785451];3.5894545699993614
1;72500;358;run1;-9.779546536495731;[-10.801616715267063, 0.2793735609435498, 0.7426966178277818];3.7207850830018288
1;75000;379;run1;-9.851922920699138;[-10.927515665095987, 0.3059474580187422, 0.769645286378106];3.844395437001367
1;77500;401;run1;-10.02892956147832;[-11.15613911320319, 0.3286336323009091, 0.7985759194239613];3.9637912990001496
1;80000;430;run1;-10.180867047387588;[-11.384959644861436, 0.3604848196007443, 0.8436077778731028];4.1049531509997905
1;82500;462;run1;-10.234373262077188;[-11.521771121169284, 0.39970325916125515, 0.8876945999308408];4.219001657998888
1;85000;506;run1;-10.21679188743199;[-11.598618140083925, 0.4567149874243685, 0.9251112652275675];4.346367220998218
1;87500;535;run1;-10.208145113984;[-11.624153539414035, 0.48264001055233385, 0.9333684148777028];4.475208661999204
1;90000;575;run1;-10.185582302860427;[-11.634819278270282, 0.5122909620318344, 0.9369460133780202];4.588533679001557
1;92500;615;run1;-10.171848873159025;[-11.636515346033008, 0.5272340754265481, 0.9374323974474339];4.724304675000894
1;95000;655;run1;-10.16226063855021;[-11.63743468829091, 0.5376358982532541, 0.9375381514874461];4.840297326998552
1;97500;700;run1;-10.154133972381473;[-11.63755713316242, 0.5458528275961936, 0.9375703331847536];4.980329637997784
1;100000;738;run1;-10.150487172373165;[-11.637583265444842, 0.5495220693089533, 0.9375740237627243];5.104119349998655
1;102500;781;run1;-10.148976240506443;[-11.637591005183447, 0.5510403977910755, 0.9375743668859284];5.230859442999645
1;105000;821;run1;-10.148340857369364;[-11.63759285765723, 0.5516776014858003, 0.9375743988020655];5.375627984998573
1;107500;865;run1;-10.148013678185565;[-11.637593238807135, 0.5520051556031518, 0.9375744050184175];5.50517322900123
1;110000;907;run1;-10.147876229208762;[-11.637593281504651, 0.5521426462931658, 0.9375744060027229];5.65570608300186
