seed;step;episode;run;hypervolume;PFcardinality;plan_lengths;computation_time
1;2500;5;run1;0.0;0;[];0.21221273100672988
1;5000;10;run1;0.0;0;[];0.4213151290023234
1;7500;15;run1;0.0;0;[];0.6626382880058372
1;10000;21;run1;0.0;1;[500];0.9396776270004921
1;12500;26;run1;0.0;1;[500];1.2312157840060536
1;15000;31;run1;0.0;1;[500];1.5065290750062559
1;17500;37;run1;0.0;1;[500];1.7851651490054792
1;20000;42;run1;0.0;1;[500];2.074506498000119
1;22500;47;run1;0.0;1;[500];2.363151222001761
1;25000;52;run1;0.0;1;[500];2.6337029010028346
1;27500;57;run1;0.0;1;[500];2.923691351999878
1;30000;63;run1;0.0;1;[500];3.236437936000584
1;32500;69;run1;4.3706153680949225;2;[500, 19];3.566013177005516
1;35000;75;run1;4.3706153680949225;2;[500, 19];3.898457525006961
1;37500;80;run1;4.3706153680949225;2;[500, 19];4.240685778000625
1;40000;88;run1;4.3706153680949225;2;[500, 19];4.5989203750068555
1;42500;93;run1;4.3706153680949225;2;[500, 19];4.954830261005554
1;45000;99;run1;4.3706153680949225;2;[500, 19];5.300449177004339
1;47500;105;run1;4.3706153680949225;2;[500, 19];5.630385539006966
1;50000;113;run1;4.3706153680949225;2;[500, 19];6.008583993003413
1;52500;120;run1;4.3706153680949225;2;[500, 19];6.355509956003516
1;55000;127;run1;4.3706153680949225;2;[500, 19];6.704352127002494
1;57500;135;run1;4.3706153680949225;2;[500, 19];7.072610551003891
1;60000;142;run1;4.3706153680949225;2;[500, 19];7.4404549630053225
1;62500;149;run1;4.3706153680949225;2;[500, 19];7.814882446000411
1;65000;155;run1;4.3706153680949225;2;[500, 19];8.168145425006514
1;67500;162;run1;4.3706153680949225;2;[500, 19];8.557420674005698
1;70000;169;run1;4.3706153680949225;2;[500, 19];8.928700143005699
1;72500;175;run1;4.3706153680949225;2;[500, 19];9.26655240200489
1;75000;180;run1;4.3706153680949225;2;[500, 19];9.640561325002636
1;77500;186;run1;4.3706153680949225;2;[500, 19];10.021192872001848
1;80000;194;run1;4.3706153680949225;2;[500, 19];10.401800765001099
1;82500;203;run1;4.3706153680949225;2;[500, 19];10.769071003000136
1;85000;210;run1;4.3706153680949225;2;[500, 19];11.106519681001373
1;87500;218;run1;4.3706153680949225;2;[500, 19];11.467002583005524
1;90000;227;run1;4.3706153680949225;2;[500, 19];11.858808721000969
1;92500;237;run1;4.683863749722362;3;[500, 500, 19];12.297761443005584
1;95000;244;run1;5.102291823673015;3;[500, 500, 19];12.747351161000552
1;97500;254;run1;5.102291823673015;3;[500, 500, 19];13.194725937006297
1;100000;263;run1;8.910453303127786;2;[35, 19];13.55752878900239
1;102500;274;run1;8.910453303127786;2;[35, 19];13.92007023699989
1;105000;283;run1;8.910453303127786;2;[35, 19];14.279284233001817
1;107500;293;run1;8.910453303127786;2;[35, 19];14.645277731004171
1;110000;304;run1;8.910453303127786;2;[35, 19];15.022007310006302
1;112500;318;run1;8.910453303127786;2;[35, 19];15.405170428006386
1;115000;326;run1;9.613346973727621;3;[41, 35, 19];15.773280422006792
1;117500;340;run1;9.613346973727621;3;[41, 35, 19];16.180764844000805
