seed;step;episode;run;hypervolume;PFcardinality;plan_lengths;computation_time
1;1000;2;run1;0.0;0;[];1.7621628359993338
1;2000;4;run1;0.0;0;[];3.4990460929984692
1;3000;6;run1;0.0;1;[500];5.382167921998189
1;4000;8;run1;0.0;1;[500];7.279768316999252
1;5000;10;run1;0.0;1;[500];9.151434020001034
1;6000;13;run1;0.0;1;[500];11.084095432997856
1;7000;15;run1;0.0;1;[500];13.06948939999711
1;8000;17;run1;0.0;1;[500];15.001280780001252
1;9000;19;run1;0.0;1;[500];16.84793066400016
1;10000;21;run1;0.0;1;[500];18.742743103000976
1;11000;23;run1;0.0;1;[500];20.647850720997667
1;12000;25;run1;0.0;1;[500];22.5425302980002
1;13000;27;run1;0.0;1;[500];24.415640006001922
1;14000;29;run1;0.0;1;[500];26.336705572997744
1;15000;31;run1;0.0;1;[500];28.2330882929964
1;16000;33;run1;0.0;1;[500];30.143995744001586
1;17000;35;run1;0.0;1;[500];32.07337869299954
1;18000;38;run1;0.0;1;[500];34.159727307996945
1;19000;40;run1;0.0;1;[500];36.13248444299825
1;20000;42;run1;0.0;1;[500];38.132718572996964
1;21000;44;run1;0.0;2;[500, 500];40.174959311996645
1;22000;46;run1;0.0;2;[500, 500];42.24108317500213
1;23000;48;run1;0.0;3;[500, 500, 19];44.40545706899866
1;24000;50;run1;2.8995555325001376;2;[19, 500];46.465133166995656
1;25000;53;run1;2.8995555325001376;2;[19, 500];48.49197205300152
1;26000;55;run1;4.097742962716063;4;[500, 21, 19, 500];50.5832115230005
1;27000;58;run1;4.097742962716063;4;[500, 21, 19, 500];52.7002889180003
1;28000;60;run1;4.097742962716063;4;[500, 21, 19, 500];54.805719739997585
1;29000;62;run1;4.097742962716063;4;[500, 21, 19, 500];56.94714972299698
1;30000;64;run1;4.097742962716063;4;[500, 21, 19, 500];59.0847849549973
1;31000;66;run1;7.303423968529032;3;[21, 19, 37];61.15047462799703
1;32000;68;run1;7.303423968529032;3;[21, 19, 37];63.22033017400099
1;33000;70;run1;7.303423968529032;3;[21, 19, 37];65.27834756799712
1;34000;72;run1;7.303423968529032;3;[21, 19, 37];67.33402217699768
1;35000;74;run1;7.303423968529032;3;[21, 19, 37];69.39679485200031
1;36000;76;run1;7.303423968529032;3;[21, 19, 37];71.42437103499833
1;37000;78;run1;7.303423968529032;3;[21, 19, 37];73.57057638499828
1;38000;80;run1;7.303423968529032;3;[21, 19, 37];75.66641726200032
1;39000;83;run1;7.303423968529032;3;[21, 19, 37];77.6971072410015
1;40000;85;run1;7.303423968529032;3;[21, 19, 37];79.67754197800241
1;41000;88;run1;7.303423968529032;3;[21, 19, 37];81.76106120600161
1;42000;90;run1;7.303423968529032;3;[21, 19, 37];83.77666439099994
1;43000;92;run1;7.303423968529032;3;[21, 19, 37];85.85723878900171
1;44000;96;run1;7.737570025810508;4;[21, 45, 19, 37];87.99266447500122
1;45000;99;run1;7.737570025810508;4;[21, 45, 19, 37];90.05021571199904
1;46000;103;run1;7.737570025810508;4;[21, 45, 19, 37];92.04695590199844
