seed;step;episode;run;q_sum;per_task_q;computation_time
1;1000;2;run1;0.0;[0.0, 0.0, 0.0];0.079655075998744
1;2000;4;run1;0.0;[0.0, 0.0, 0.0];0.15472574299928965
1;3000;6;run1;0.0;[0.0, 0.0, 0.0];0.22926685799757252
1;4000;8;run1;0.0;[0.0, 0.0, 0.0];0.30606378999800654
1;5000;10;run1;0.0;[0.0, 0.0, 0.0];0.3803274710007827
1;6000;12;run1;1.7438171851638066e-09;[0.0, 0.0, 1.7438171851638066e-09];0.45531525099795545
1;7000;14;run1;1.1112632272175845e-08;[0.0, 0.0, 1.1112632272175845e-08];0.5340362999995705
1;8000;16;run1;5.499957976580351e-08;[0.0, 0.0, 5.499957976580351e-08];0.6108460350005771
1;9000;18;run1;1.7587074101466504e-07;[0.0, 0.0, 1.7587074101466504e-07];0.7073645659984322
1;10000;20;run1;4.5131957740630666e-07;[0.0, 0.0, 4.5131957740630666e-07];0.7857480980019318
1;11000;22;run1;2.3749659531917244e-06;[0.0, 0.0, 2.3749659531917244e-06];0.86209420600062
1;12000;24;run1;5.174244973899835e-06;[0.0, 0.0, 5.174244973899835e-06];0.9382949499995448
1;13000;26;run1;1.4705241170599329e-05;[0.0, 0.0, 1.4705241170599329e-05];1.014464895000856
1;14000;28;run1;3.1953337349798904e-05;[0.0, 0.0, 3.1953337349798904e-05];1.0909949709966895
1;15000;30;run1;5.442254572462893e-05;[0.0, 0.0, 5.442254572462893e-05];1.166978373999882
1;16000;32;run1;8.276631778134659e-05;[0.0, 0.0, 8.276631778134659e-05];1.2421286210010294
1;17000;34;run1;0.00013129215402697352;[0.0, 0.0, 0.00013129215402697352];1.3157385059967055
1;18000;36;run1;0.00021253570736680662;[0.0, 0.0, 0.00021253570736680662];1.389373607999005
1;19000;38;run1;0.0004075407138432079;[0.0, 0.0, 0.0004075407138432079];1.4624222420025035
1;20000;40;run1;0.0004447441987949866;[0.0, 0.0, 0.0004447441987949866];1.5360174180023023
1;21000;42;run1;0.0004447441987949866;[0.0, 0.0, 0.0004447441987949866];1.609239017998334
1;22000;44;run1;0.0006544864105883703;[0.0, 0.0, 0.0006544864105883703];1.683013595000375
1;23000;46;run1;0.0007962433176785918;[0.0, 0.0, 0.0007962433176785918];1.7571667469965178
1;24000;48;run1;0.0014476165736053651;[0.0, 0.0, 0.0014476165736053651];1.8307573350029998
1;25000;50;run1;0.0033481008536264917;[0.0, 0.0, 0.0033481008536264917];1.9044177839969052
1;26000;52;run1;0.005376660957639007;[0.0, 0.0, 0.005376660957639007];1.9787481509993086
1;27000;54;run1;0.005376660957639007;[0.0, 0.0, 0.005376660957639007];2.0523310450007557
1;28000;56;run1;0.016567551132191737;[0.0, 0.0, 0.016567551132191737];2.1271547650030698
1;29000;58;run1;0.026852357793046976;[0.0, 0.0, 0.026852357793046976];2.200550995003141
1;30000;60;run1;0.03636687038632025;[0.0, 0.0, 0.03636687038632025];2.274141592999513
1;31000;62;run1;0.03636687038632025;[0.0, 0.0, 0.03636687038632025];2.3471531870018225
1;32000;64;run1;0.03996899841700018;[0.0, 0.0, 0.03996899841700018];2.4199775960005354
1;33000;66;run1;0.04865031259159512;[0.0, 0.0, 0.04865031259159512];2.4927068749966566
1;34000;68;run1;0.04865031259159512;[0.0, 0.0, 0.04865031259159512];2.5671359789994312
1;35000;70;run1;0.05679556971437122;[0.0, 0.0, 0.05679556971437122];2.640700727002695
1;36000;72;run1;0.06756171947056101;[0.0, 0.0, 0.06756171947056101];2.7141305710028973
1;37000;74;run1;0.07546725948190813;[0.0, 0.0, 0.07546725948190813];2.786965439998312
