seed;step;episode;run;q_sum;per_task_q;computation_time
1;2500;5;run1;0.0;[0.0, 0.0];0.19823310100036906
1;5000;10;run1;0.0;[0.0, 0.0];0.40266163300111657
1;7500;15;run1;0.0;[0.0, 0.0];0.5989025990056689
1;10000;20;run1;0.0;[0.0, 0.0];0.8095758340059547
1;12500;25;run1;0.0;[0.0, 0.0];1.0340121460030787
1;15000;30;run1;0.0;[0.0, 0.0];1.2693480500020087
1;17500;35;run1;0.0;[0.0, 0.0];1.4884827500063693
1;20000;40;run1;0.0;[0.0, 0.0];1.7209669639996719
1;22500;45;run1;0.0;[0.0, 0.0];2.092472964002809
1;25000;50;run1;0.0;[0.0, 0.0];2.3552035310058272
1;27500;55;run1;0.0;[0.0, 0.0];2.5896748310042312
1;30000;60;run1;0.0;[0.0, 0.0];2.815733529001591
1;32500;65;run1;0.0;[0.0, 0.0];3.043103465002787
1;35000;70;run1;0.0;[0.0, 0.0];3.2644089270033874
1;37500;75;run1;0.0;[0.0, 0.0];3.4861829860019498
1;40000;80;run1;0.0;[0.0, 0.0];3.711942348003504
1;42500;85;run1;0.0;[0.0, 0.0];3.9312390129998676
1;45000;90;run1;0.0;[0.0, 0.0];4.157406075006293
1;47500;95;run1;0.0;[0.0, 0.0];4.390613205003319
1;50000;100;run1;0.0;[0.0, 0.0];4.653646513004787
1;52500;105;run1;0.0;[0.0, 0.0];4.885013905004598
1;55000;110;run1;0.0;[0.0, 0.0];5.112734072004969
1;57500;115;run1;0.0;[0.0, 0.0];5.340808229004324
1;60000;120;run1;0.0;[0.0, 0.0];5.5784196330059785
1;62500;125;run1;0.0;[0.0, 0.0];5.815785394006525
1;65000;130;run1;0.0;[0.0, 0.0];6.041496874000586
1;67500;136;run1;0.0;[0.0, 0.0];6.2824171030006255
1;70000;141;run1;0.0;[0.0, 0.0];6.508561672002543
1;72500;147;run1;0.0;[0.0, 0.0];6.758109679001791
1;75000;152;run1;0.0;[0.0, 0.0];7.0026723420014605
1;77500;157;run1;7.346303040913342e-21;[7.346303040913342e-21, 0.0];7.181301606004126
1;80000;162;run1;1.4417618699167075e-17;[1.4417618699167075e-17, 0.0];7.399393824001891
1;82500;167;run1;7.83936787720236e-15;[7.83936787720236e-15, 0.0];7.611345164004888
1;85000;173;run1;2.772887632945095e-13;[2.772887632945095e-13, 0.0];7.827484350003942
1;87500;180;run1;4.435273028841003e-11;[4.435273028841003e-11, 0.0];8.046740948004299
1;90000;188;run1;8.962501633384904e-10;[8.962501633384904e-10, 0.0];8.269483486001263
1;92500;194;run1;4.810477694120771e-09;[4.810477694120771e-09, 0.0];8.48437984300108
1;95000;202;run1;6.076296259180149e-08;[6.076296259180149e-08, 0.0];8.70594089700171
1;97500;207;run1;4.439190252912134e-07;[4.439190252912134e-07, 0.0];8.915194307002821
1;100000;213;run1;1.0763841248167142e-06;[1.0763841248167142e-06, 0.0];9.126635592001549
1;102500;219;run1;2.7419392645893927e-06;[2.7419392645893927e-06, 0.0];9.3406689570038
1;105000;224;run1;6.12792468096163e-06;[6.12792468096163e-06, 0.0];9.510721678001573
1;107500;229;run1;7.935264266615392e-06;[7.935264266615392e-06, 0.0];9.720763889003138
1;110000;236;run1;1.9152850070625703e-05;[1.9152850070625703e-05, 0.0];9.934579521999694
1;112500;244;run1;4.7030406940637636e-05;[4.7030406940637636e-05, 0.0];10.156073409001692
1;115000;250;run1;0.00011242476418572549;[0.00011242476418572549, 0.0];10.373739851005666
1;117500;255;run1;0.00025002889351765945;[0.00025002889351765945, 0.0];10.588834532005421
1;120000;260;run1;0.0005278079855599989;[0.0005278079855599989, 0.0];10.792637930004275
1;122500;268;run1;0.0008142789878653536;[0.0008142789878653536, 0.0];11.009200495005643
1;125000;274;run1;0.0016926374208666283;[0.0016926374208666283, 0.0];11.222293572005583
1;127500;280;run1;0.002623400727703068;[0.002623400727703068, 0.0];11.434017020001193
1;130000;286;run1;0.004041419151778328;[0.004041419151778328, 0.0];11.609237148004468
1;132500;291;run1;0.007291686033500996;[0.007291686033500996, 0.0];11.816999549002503
1;135000;296;run1;0.0086696017306073;[0.0086696017306073, 0.0];12.023795062006684
1;137500;304;run1;0.0140602266866956;[0.0140602266866956, 0.0];12.243537979004032
1;140000;312;run1;0.0194475448246957;[0.0194475448246957, 0.0];12.457426549000957
1;142500;319;run1;0.023326830673563136;[0.023326830673563136, 0.0];12.697369389003143
1;145000;325;run1;0.028404026124800908;[0.028404026124800908, 0.0];12.918337772003724
1;147500;331;run1;0.034608324689806916;[0.034608324689806916, 0.0];13.14049260700267
1;150000;338;run1;0.045443603961832266;[0.045443603961832266, 0.0];13.37011717200221
1;152500;345;run1;0.05802111220422969;[0.05802111220422969, 0.0];13.61306109400175
1;155000;350;run1;0.06726047802282824;[0.06726047802282824, 0.0];13.839932815004431
1;157500;357;run1;0.07818127432720551;[0.07818127432720551, 0.0];14.082064381000237
1;160000;363;run1;0.093550619545735;[0.093550619545735, 0.0];14.311936805002915
1;162500;369;run1;0.10898462397312408;[0.10898462397312408, 0.0];14.50502044800669
1;165000;374;run1;0.11571964070905853;[0.11571964070905853, 0.0];14.730989373005286
1;167500;380;run1;0.12386722818180361;[0.12386722818180361, 0.0];14.959830166000756
1;170000;386;run1;0.1297214533225005;[0.1297214533225005, 0.0];15.197816225001588
1;172500;393;run1;0.1432995253414796;[0.1432995253414796, 0.0];15.432437235001998
1;175000;399;run1;0.15578094475579243;[0.15578094475579243, 0.0];15.648716724004771
1;177500;405;run1;0.16924151528673811;[0.16924151528673811, 0.0];15.877343522006413
1;180000;411;run1;0.17939192684405716;[0.17939192684405716, 0.0];16.092547147003643
1;182500;418;run1;0.19690888008654556;[0.19690888008654556, 0.0];16.31911117700656
1;185000;423;run1;0.2081749095819367;[0.2081749095819367, 0.0];16.541949533006118
1;187500;430;run1;0.2215577254429087;[0.2215577254429087, 0.0];16.75515559300402
1;190000;436;run1;0.2316811735934102;[0.2316811735934102, 0.0];16.96924841800501
1;192500;442;run1;0.25182451667084177;[0.25182451667084177, 0.0];17.18181573000038
1;195000;447;run1;0.25787183904732025;[0.25787183904732025, 0.0];17.38867715600645
1;197500;452;run1;0.2653127036005511;[0.2653127036005511, 0.0];17.59657036300632
1;200000;458;run1;0.27469687103522744;[0.27469687103522744, 0.0];17.769956091004133
1;202500;463;run1;0.28243507239457966;[0.28243507239457966, 0.0];17.97983369900612
1;205000;468;run1;0.29054837808404627;[0.29054837808404627, 0.0];18.187685447002877
1;207500;474;run1;0.2993824225110937;[0.2993824225110937, 0.0];18.4012317690067
1;210000;479;run1;0.30100379618989387;[0.30100379618989387, 0.0];18.610650449001696
1;212500;484;run1;0.31024824143452934;[0.31024824143452934, 0.0];18.820474715001183
1;215000;489;run1;0.3176792018263927;[0.3176792018263927, 0.0];19.02974470400659
1;217500;496;run1;0.3234787766208008;[0.3234787766208008, 0.0];19.24748303000524
1;220000;502;run1;0.3318159942939432;[0.3318159942939432, 0.0];19.460912018999807
1;222500;507;run1;0.3399751126878251;[0.3399751126878251, 0.0];19.669480402000772
1;225000;512;run1;0.34678010050885877;[0.34678010050885877, 0.0];19.876548739004647
1;227500;519;run1;0.3522862948432809;[0.3522862948432809, 0.0];20.09103275200323
1;230000;524;run1;0.35457960245614784;[0.35457960245614784, 0.0];20.30126105200179
1;232500;531;run1;0.359169985498929;[0.359169985498929, 0.0];20.483443949000502
1;235000;538;run1;0.36309599936879555;[0.36309599936879555, 0.0];20.701075563003542
1;237500;545;run1;0.3672940652538819;[0.3672940652538819, 0.0];20.917154201000812
1;240000;550;run1;0.37047943343767875;[0.37047943343767875, 0.0];21.129595424004947
1;242500;556;run1;0.37284767870162605;[0.37284767870162605, 0.0];21.343404391001968
1;245000;564;run1;0.37668357158100924;[0.37668357158100924, 0.0];21.568658984004287
1;247500;570;run1;0.37858010441552864;[0.37858010441552864, 0.0];21.783119573003205
1;250000;575;run1;0.37959949766895806;[0.37959949766895806, 0.0];21.995607182005187
1;252500;580;run1;0.38057433425425397;[0.38057433425425397, 0.0];22.207731225003954
1;255000;587;run1;0.3818323214441922;[0.3818323214441922, 0.0];22.425099441003113
1;257500;592;run1;0.3832993699191863;[0.3832993699191863, 0.0];22.63647693200619
1;260000;597;run1;0.38381750419306876;[0.38381750419306876, 0.0];22.85109484900022
1;262500;602;run1;0.38527226021069294;[0.38527226021069294, 0.0];23.029071254000883
1;265000;609;run1;0.38646752870439893;[0.38646752870439893, 0.0];23.250623919004283
1;267500;615;run1;0.3874117571428836;[0.3874117571428836, 0.0];23.4681826330052
1;270000;622;run1;0.38878043689214525;[0.38878043689214525, 0.0];23.691898337005114
1;272500;628;run1;0.3896303524896148;[0.3896303524896148, 0.0];23.91055029800191
1;275000;633;run1;0.3905963799579607;[0.3905963799579607, 0.0];24.12165387099958
1;277500;638;run1;0.39137450438107124;[0.39137450438107124, 0.0];24.334047823002038
1;280000;643;run1;0.3919284991736975;[0.3919284991736975, 0.0];24.54691697400267
1;282500;649;run1;0.39224460387723226;[0.39224460387723226, 0.0];24.7621273390032
1;285000;655;run1;0.3927302152194555;[0.3927302152194555, 0.0];24.980624196999997
1;287500;660;run1;0.39304692913289907;[0.39304692913289907, 0.0];25.190675491001457
1;290000;666;run1;0.3932914520113492;[0.3932914520113492, 0.0];25.41295674300636
1;292500;671;run1;0.3934600073912596;[0.3934600073912596, 0.0];25.585494908002147
1;295000;676;run1;0.39363799481369527;[0.39363799481369527, 0.0];25.797931961002178
1;297500;681;run1;0.3938139051554085;[0.3938139051554085, 0.0];26.011735949003196
1;300000;686;run1;0.39403202638095436;[0.39403202638095436, 0.0];26.238649716004147
1;302500;692;run1;0.39419086853726454;[0.39419086853726454, 0.0];26.456106347002788
1;305000;698;run1;0.3943465160856797;[0.3943465160856797, 0.0];26.673701260006055
1;307500;703;run1;0.394541453906391;[0.394541453906391, 0.0];26.888684315003047
1;310000;708;run1;0.3947090635785431;[0.3947090635785431, 0.0];27.103829717001645
1;312500;713;run1;0.39476561698392193;[0.39476561698392193, 0.0];27.31656251900131
1;315000;720;run1;0.3950259532049514;[0.3950259532049514, 0.0];27.53471882300073
1;317500;725;run1;0.395186835959292;[0.395186835959292, 0.0];27.749842244003958
1;320000;730;run1;0.395321326247767;[0.395321326247767, 0.0];27.963615673004824
