seed;step;episode;run;hypervolume;PFcardinality;plan_lengths;computation_time
1;2000;244;run1;143096.4063822502;4;[1, 3, 10, 5];0.42895072499959497
1;4000;461;run1;148362.00370510787;7;[1, 8, 5, 7, 3, 11, 9];0.9152583369941567
1;6000;678;run1;148396.20377563953;6;[1, 5, 8, 7, 3, 9];1.4314798989944393
1;8000;852;run1;148450.60096907377;6;[1, 5, 8, 3, 9, 7];1.9070176859968342
1;10000;1046;run1;155019.5645676595;9;[1, 9, 8, 14, 5, 3, 19, 7, 14];2.390059649995237
1;12000;1166;run1;155485.9576572886;8;[1, 9, 17, 8, 5, 3, 14, 7];2.9049268210001173
1;14000;1330;run1;155645.07064639396;9;[1, 9, 15, 8, 5, 3, 16, 14, 7];3.480625123993377
1;16000;1493;run1;155645.7040258789;9;[1, 15, 9, 16, 8, 5, 3, 14, 7];4.042025118993479
1;18000;1677;run1;155645.80746408078;9;[1, 14, 15, 9, 16, 8, 5, 3, 7];4.666738736996194
1;20000;1818;run1;157111.44974894702;10;[1, 19, 14, 15, 9, 16, 8, 5, 3, 7];5.266320940994774
1;22000;1969;run1;157156.8477599885;11;[1, 14, 19, 15, 9, 16, 21, 8, 5, 3, 7];5.896056754994788
1;24000;2125;run1;157156.8952420243;11;[1, 21, 14, 19, 15, 9, 16, 8, 5, 3, 7];6.55666723199829
1;26000;2252;run1;157170.4608865933;11;[1, 14, 19, 20, 15, 9, 16, 8, 5, 3, 7];7.184750813998107
1;28000;2362;run1;157479.56381317304;13;[1, 20, 14, 19, 20, 15, 9, 16, 8, 5, 3, 22, 7];7.891072100996098
1;30000;2505;run1;157503.7360694253;11;[1, 20, 14, 15, 9, 16, 8, 5, 3, 19, 7];8.626615593995666
1;32000;2641;run1;157185.15889543388;10;[1, 14, 15, 9, 16, 8, 5, 3, 19, 7];9.301903705993027
1;34000;2764;run1;157726.6072272915;12;[1, 21, 14, 15, 9, 16, 8, 5, 17, 3, 19, 7];9.99286407299951
1;36000;2877;run1;158047.86085716877;12;[1, 19, 14, 3, 15, 9, 16, 8, 5, 17, 19, 7];10.708328899992921
1;38000;2981;run1;158047.86085716877;12;[1, 19, 14, 3, 15, 9, 16, 8, 5, 17, 19, 7];11.402796963993751
1;40000;3109;run1;158076.69790868543;12;[1, 20, 14, 17, 15, 16, 9, 8, 5, 3, 19, 7];12.143636389999301
1;42000;3200;run1;158098.60903307123;13;[1, 20, 14, 17, 15, 16, 9, 8, 5, 21, 3, 19, 7];12.852792803998454
1;44000;3321;run1;158113.06061722175;14;[1, 14, 23, 17, 15, 16, 9, 8, 5, 19, 3, 19, 21, 7];13.647290234999673
1;46000;3446;run1;158117.64579753578;14;[1, 3, 14, 20, 17, 15, 16, 9, 8, 5, 19, 23, 19, 7];14.45499720999942
1;48000;3543;run1;158121.12840611782;14;[1, 14, 20, 17, 15, 16, 9, 22, 8, 5, 19, 3, 19, 7];15.205226959995343
1;50000;3668;run1;158112.38961498713;13;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 3, 19, 7];16.068304985994473
1;52000;3761;run1;158112.38961498713;13;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 3, 19, 7];16.946308539998427
1;54000;3876;run1;158121.12840611782;14;[1, 14, 20, 17, 15, 16, 9, 23, 8, 5, 19, 3, 19, 7];17.820926074993622
1;56000;3961;run1;158125.46039389056;14;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 3, 19, 7];18.648507588994107
1;58000;4056;run1;158125.46039389056;14;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 3, 19, 7];19.498509965997073
1;60000;4131;run1;158125.46039389056;14;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 3, 19, 7];20.285253221998573
1;62000;4238;run1;158125.46039389056;14;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 3, 19, 7];21.142820846995164
1;64000;4340;run1;158125.46039389056;14;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 3, 19, 7];21.98506324999471
1;66000;4455;run1;158125.46039389056;14;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 3, 19, 7];22.833567497997137
1;68000;4556;run1;158125.46039389056;14;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 3, 19, 7];23.655290367998532
1;70000;4633;run1;158125.46039389056;14;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 3, 19, 7];24.445507183998416
1;72000;4723;run1;158125.46039389056;14;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 3, 19, 7];25.23970286599797
1;74000;4823;run1;158125.46039389056;14;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 3, 19, 7];26.05157646299631
1;76000;4925;run1;158125.46039389056;14;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 3, 19, 7];26.890922624996165
1;78000;5016;run1;158125.46039389056;14;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 3, 19, 7];27.783153517993924
1;80000;5100;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];28.64699411399488
1;82000;5183;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];29.528668107996054
1;84000;5289;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];30.463881368996226
1;86000;5367;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];31.369689007995476
1;88000;5467;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];32.32503790199553
1;90000;5568;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];33.19359606999933
1;92000;5675;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];34.09690115199919
1;94000;5761;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];34.985281112996745
1;96000;5843;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];35.81625833099679
1;98000;5938;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];36.729454090993386
1;100000;6019;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];37.613618370996846
1;102000;6106;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];38.499531378998654
1;104000;6190;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];39.39086758799385
1;106000;6273;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];40.313189461994625
1;108000;6358;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];41.206091417996504
1;110000;6441;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];42.109302361997834
1;112000;6526;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];43.03049672599445
1;114000;6620;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];43.9735192099979
