seed;step;episode;run;hypervolume;PFcardinality;plan_lengths;computation_time
1;2000;249;run1;147523.93809563358;5;[1, 5, 8, 3, 9];1.988916201000393
1;4000;480;run1;148450.75496903446;6;[1, 9, 5, 8, 3, 7];4.1224508920058724
1;6000;734;run1;148450.75496903446;6;[1, 9, 5, 8, 3, 7];6.4502770000035525
1;8000;891;run1;155618.03773528285;8;[1, 14, 16, 9, 8, 5, 3, 7];8.733485118005774
1;10000;1049;run1;156099.40874329326;10;[1, 14, 15, 9, 16, 8, 5, 13, 3, 7];11.209756408999965
1;12000;1189;run1;156099.40874329326;10;[1, 14, 15, 9, 16, 8, 5, 13, 3, 7];13.56485019899992
1;14000;1355;run1;156099.40874329326;10;[1, 14, 15, 9, 16, 8, 5, 13, 3, 7];15.915016152001044
1;16000;1492;run1;156099.40874329326;10;[1, 14, 15, 9, 16, 8, 5, 13, 3, 7];18.302132796001388
1;18000;1661;run1;156099.40874329326;10;[1, 14, 15, 9, 16, 8, 5, 13, 3, 7];20.75577611400513
1;20000;1771;run1;157837.48723532725;11;[1, 14, 9, 15, 16, 17, 8, 5, 13, 3, 7];23.10111848700035
1;22000;1898;run1;158113.36309664513;12;[1, 14, 17, 15, 16, 9, 8, 5, 13, 3, 7, 19];25.695456783003465
1;24000;1998;run1;158478.0298391596;15;[1, 20, 14, 17, 15, 16, 9, 20, 8, 5, 13, 3, 19, 7, 19];28.354245498005184
1;26000;2097;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];31.322958558004757
1;28000;2214;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];34.38024005500483
1;30000;2330;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];37.4770791560004
1;32000;2447;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];40.55764664900198
1;34000;2537;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];43.56183478500316
1;36000;2637;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];46.496692293003434
1;38000;2721;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];49.51464294400648
1;40000;2814;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];52.506627770002524
1;42000;2901;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];55.58186069400108
1;44000;3002;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];58.636885795000126
1;46000;3092;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];61.350546926005336
1;48000;3194;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];64.0479564720008
1;50000;3285;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];66.77345673100353
1;52000;3390;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];69.61323483700107
1;54000;3474;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];72.45751399100118
1;56000;3557;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];75.22880650600564
1;58000;3640;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];77.93491333900602
1;60000;3724;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];80.65476763400511
1;62000;3798;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];83.31701236899971
1;64000;3883;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];86.04075962500065
1;66000;3967;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];88.75430286300252
1;68000;4059;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];91.58745733900287
1;70000;4148;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];94.46769769000093
1;72000;4227;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];97.25303789200552
1;74000;4311;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];100.02164453200385
1;76000;4401;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];102.7868958540057
1;78000;4486;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];105.58464280000044
1;80000;4571;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];108.31920593900577
1;82000;4650;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];111.02206862500316
1;84000;4741;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];113.54265685599967
1;86000;4831;run1;158579.0616731031;15;[1, 14, 20, 17, 15, 16, 9, 8, 5, 19, 21, 13, 3, 19, 7];116.09761681800592
