seed;step;episode;run;q_sum;per_task_q;computation_time
1;2000;542;run1;128.83650331834858;[-0.9999999999999996, 79.8365033183486, 49.99999999999997];0.18032574599783402
1;4000;1211;run1;167.45893874081995;[-0.9999999999999996, 118.45893874081997, 49.99999999999997];0.3652342679997673
1;6000;1715;run1;168.51903348965658;[-0.9999999999999996, 119.51903348965661, 49.99999999999997];0.5285899079972296
1;8000;2309;run1;168.52071902233084;[-0.9999999999999996, 119.52071902233087, 49.99999999999997];0.7020890909989248
1;10000;2822;run1;168.52071951948722;[-0.9999999999999996, 119.52071951948723, 49.99999999999997];0.872519819997251
1;12000;3416;run1;168.52071952011966;[-0.9999999999999996, 119.52071952011968, 49.99999999999997];1.0549763050003094
1;14000;3995;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];1.2266346239994164
1;16000;4608;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];1.3974938899991685
1;18000;5186;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];1.5673308199984604
1;20000;5753;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];1.7470836569991661
1;22000;6326;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];1.9249025710014394
1;24000;6862;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];2.084117685997626
1;26000;7377;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];2.2593284510003286
1;28000;7844;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];2.430094060000556
1;30000;8351;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];2.621813696998288
1;32000;8874;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];2.80085176799912
1;34000;9287;run1;169.71796469477692;[-0.9999999999999996, 120.71796469477695, 49.99999999999997];2.9671409649963607
1;36000;9725;run1;187.7953955942773;[-0.9999999999999996, 138.79539559427732, 49.99999999999997];3.1400536079963786
2;2000;472;run1;128.83347757184808;[-0.9999999999999928, 79.83347757184843, 49.999999999999645];0.15637171900016256
2;4000;1151;run1;128.84007999951484;[-0.9999999999999996, 79.84007999951486, 49.99999999999997];0.34532347999629565
2;6000;1858;run1;128.84007999999977;[-0.9999999999999996, 79.8400799999998, 49.99999999999997];0.5410262949953903
2;8000;2465;run1;168.37688707174468;[-0.9999999999999996, 119.37688707174469, 49.99999999999997];0.7242823529959423
2;10000;3035;run1;168.52070513787922;[-0.9999999999999996, 119.52070513787925, 49.99999999999997];0.9165226529948995
2;12000;3566;run1;168.5207195187201;[-0.9999999999999996, 119.52071951872014, 49.99999999999997];1.0895185109984595
2;14000;4112;run1;168.52071952011926;[-0.9999999999999996, 119.52071952011929, 49.99999999999997];1.2716997059978894
2;16000;4658;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];1.453001731999393
2;18000;5186;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];1.6344045029982226
2;20000;5762;run1;168.52071952011968;[-0.9999999999999996, 119.52071952011971, 49.99999999999997];1.819779669996933
2;22000;6286;run1;174.2329703582396;[-0.9999999999999996, 125.23297035823964, 49.99999999999997];1.9892917429970112
2;24000;6719;run1;187.5466263948685;[-0.9999999999999996, 138.54662639486853, 49.99999999999997];2.1484006289974786
2;26000;7162;run1;188.14963294673382;[-0.9999999999999996, 139.14963294673385, 49.99999999999997];2.30530955499853
2;28000;7598;run1;189.58220640550286;[-0.9999999999999996, 140.5822064055029, 49.99999999999997];2.4742272949952167
2;30000;7991;run1;192.85857394264124;[-0.9999999999999996, 143.85857394264127, 49.99999999999997];2.635952456999803
2;32000;8423;run1;192.98650045620727;[-0.9999999999999996, 143.9865004562073, 49.99999999999997];2.7879278709951905
2;34000;8804;run1;192.98802478498123;[-0.9999999999999996, 143.98802478498126, 49.99999999999997];2.934896660000959
2;36000;9248;run1;195.89018072523388;[-0.9999999999999996, 146.8901807252339, 49.99999999999997];3.114841766997415
2;38000;9665;run1;197.73436607357993;[-0.9999999999999996, 148.73436607357996, 49.99999999999997];3.2691177359956782
3;2000;537;run1;128.83691247230993;[-0.9999999999999996, 79.83691247230996, 49.99999999999997];0.1694160750048468
3;4000;1209;run1;128.84007999972033;[-0.9999999999999996, 79.84007999972036, 49.99999999999997];0.35962615800235653
3;6000;1850;run1;166.65709046837495;[-0.9999999999999996, 117.65709046837497, 49.99999999999997];0.5534578630031319
